ticker,cik,company_name,inclusion_rule,active_status
TMO,0000097745,THERMO FISHER SCIENTIFIC INC.,core_manual,listed
TMUS,0001283699,"T-Mobile US, Inc.",core_manual,listed
TSLA,0001318605,"Tesla, Inc.",core_manual,listed
TSM,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,core_manual,listed
TXN,0000097476,TEXAS INSTRUMENTS INC,core_manual,listed
UL,0000217410,UNILEVER PLC,core_manual,listed
UNP,0000100885,UNION PACIFIC CORP,core_manual,listed
UPS,0001090727,UNITED PARCEL SERVICE INC,core_manual,listed
V,0001403161,VISA INC.,core_manual,listed
VRTX,0000875320,VERTEX PHARMACEUTICALS INC / MA,core_manual,listed
VZ,0000732712,VERIZON COMMUNICATIONS INC,core_manual,listed
WDAY,0001327811,"Workday, Inc.",core_manual,listed
WFC,0000072971,WELLS FARGO & COMPANY/MN,core_manual,listed
WMT,0000104169,Walmart Inc.,core_manual,listed
XOM,0000034088,EXXON MOBIL CORP,core_manual,listed
ZS,0001713683,"Zscaler, Inc.",core_manual,listed
A,0001090872,Agilent Technologies,sp500_2021,listed
AAL,0000006201,American Airlines Group Inc.,sp500_2021,listed
AAP,0001158449,ADVANCE AUTO PARTS INC,sp500_2021,listed
ABMD,0000815094,ABIOMED INC,sp500_2021,delisted
ABT,0000001800,Abbott Laboratories,sp500_2021,listed
ACN,0001467373,Accenture,sp500_2021,listed
ADM,0000007084,Archer Daniels Midland,sp500_2021,listed
ADP,0000008670,Automatic Data Processing,sp500_2021,listed
AEE,0001002910,Ameren,sp500_2021,listed
AES,0000874761,AES Corporation,sp500_2021,listed
AFL,0000004977,Aflac,sp500_2021,listed
AIG,0000005272,American International Group,sp500_2021,listed
AIZ,0001267238,Assurant,sp500_2021,listed
AJG,0000354190,Arthur J. Gallagher & Co.,sp500_2021,listed
AKAM,0001086222,Akamai Technologies,sp500_2021,listed
ALB,0000915913,Albemarle Corporation,sp500_2021,listed
ALGN,0001097149,Align Technology,sp500_2021,listed
ALK,0000766421,"ALASKA AIR GROUP, INC.",sp500_2021,listed
ALL,0000899051,Allstate,sp500_2021,listed
ALLE,0001579241,Allegion,sp500_2021,listed
AMCR,0001748790,Amcor,sp500_2021,listed
AME,0001037868,Ametek,sp500_2021,listed
AMP,0000820027,Ameriprise Financial,sp500_2021,listed
AMT,0001053507,American Tower,sp500_2021,listed
AMTM,0002011286,"Amentum Holdings, Inc.",sp500_2021,listed
ANET,0001596532,Arista Networks,sp500_2021,listed
ANSS,0001013462,ANSYS INC,sp500_2021,delisted
AON,0000315293,Aon plc,sp500_2021,listed
AOS,0000091142,A. O. Smith,sp500_2021,listed
APA,0001841666,APA Corporation,sp500_2021,listed
APD,0000002969,Air Products,sp500_2021,listed
APH,0000820313,Amphenol,sp500_2021,listed
APTV,0001521332,Aptiv,sp500_2021,listed
ARE,0001035443,Alexandria Real Estate Equities,sp500_2021,listed
ATO,0000731802,Atmos Energy,sp500_2021,listed
ATVI,0000718877,"Activision Blizzard, Inc.",sp500_2021,delisted
AVB,0000915912,AVALONBAY COMMUNITIES INC,sp500_2021,listed
AVY,0000008818,Avery Dennison,sp500_2021,listed
AWK,0001410636,American Water Works,sp500_2021,listed
AZO,0000866787,AutoZone,sp500_2021,listed
BALL,0000009389,Ball Corporation,sp500_2021,listed
BAX,0000010456,Baxter International,sp500_2021,listed
BBY,0000764478,Best Buy,sp500_2021,listed
BDX,0000010795,Becton Dickinson,sp500_2021,listed
BEN,0000038777,Franklin Resources,sp500_2021,listed
BF.B,0000014693,Brown–Forman,sp500_2021,listed
BIO,0000012208,"BIO-RAD LABORATORIES, INC.",sp500_2021,listed
BKNG,0001075531,Booking Holdings,sp500_2021,listed
BKR,0001701605,Baker Hughes,sp500_2021,listed
BNY,0001390777,BNY Mellon,sp500_2021,listed
BR,0001383312,Broadridge Financial Solutions,sp500_2021,listed
BRK.B,0001067983,Berkshire Hathaway,sp500_2021,listed
BRO,0000079282,Brown & Brown,sp500_2021,listed
BSX,0000885725,Boston Scientific,sp500_2021,listed
BWA,0000908255,BORGWARNER INC,sp500_2021,listed
BXP,0001037540,"BXP, Inc.",sp500_2021,listed
CAH,0000721371,Cardinal Health,sp500_2021,listed
CARR,0001783180,Carrier Global,sp500_2021,listed
CB,0000896159,Chubb Limited,sp500_2021,listed
CBRE,0001138118,CBRE Group,sp500_2021,listed
CCI,0001051470,Crown Castle,sp500_2021,listed
CCL,0000815097,Carnival Corporation,sp500_2021,listed
CDAY,0001725057,Ceridian HCM Holding Inc.,sp500_2021,delisted
CDNS,0000813672,Cadence Design Systems,sp500_2021,listed
CDW,0001402057,CDW Corporation,sp500_2021,listed
CE,0001306830,Celanese Corp,sp500_2021,listed
CEG,0001868275,Constellation Energy,sp500_2021,listed
CERN,0000804753,CERNER CORP,sp500_2021,delisted
CF,0001324404,CF Industries,sp500_2021,listed
CFG,0000759944,Citizens Financial Group,sp500_2021,listed
CHD,0000313927,Church & Dwight,sp500_2021,listed
CHRW,0001043277,C.H. Robinson,sp500_2021,listed
CI,0001739940,Cigna,sp500_2021,listed
CINF,0000020286,Cincinnati Financial,sp500_2021,listed
CLX,0000021076,Clorox,sp500_2021,listed
CMA,0000028412,COMERICA INC /NEW/,sp500_2021,delisted
CME,0001156375,CME Group,sp500_2021,listed
CMG,0001058090,Chipotle Mexican Grill,sp500_2021,listed
CMI,0000026172,Cummins,sp500_2021,listed
CMS,0000811156,CMS Energy,sp500_2021,listed
CNC,0001071739,Centene Corporation,sp500_2021,listed
CNP,0001130310,CenterPoint Energy,sp500_2021,listed
COO,0000711404,Cooper Companies (The),sp500_2021,listed
COR,0001140859,Cencora,sp500_2021,listed
CPB,0000016732,CAMPBELL'S Co,sp500_2021,listed
CPRT,0000900075,Copart,sp500_2021,listed
CRL,0001100682,Charles River Laboratories,sp500_2021,listed
CTAS,0000723254,Cintas,sp500_2021,listed
CTLT,0001596783,"Catalent, Inc.",sp500_2021,delisted
CTRA,0000858470,Coterra Energy Inc.,sp500_2021,delisted
CTSH,0001058290,Cognizant,sp500_2021,listed
CTVA,0001755672,Corteva,sp500_2021,listed
CTXS,0000877890,CITRIX SYSTEMS INC,sp500_2021,delisted
CVS,0000064803,CVS Health,sp500_2021,listed
CZR,0001590895,"Caesars Entertainment, Inc.",sp500_2021,listed
D,0000715957,Dominion Energy,sp500_2021,listed
DAL,0000027904,Delta Air Lines,sp500_2021,listed
DD,0001666700,DuPont,sp500_2021,listed
DG,0000029534,Dollar General,sp500_2021,listed
DGX,0001022079,Quest Diagnostics,sp500_2021,listed
DHI,0000882184,D. R. Horton,sp500_2021,listed
DHR,0000313616,Danaher Corporation,sp500_2021,listed
DIS,0001744489,Walt Disney Company (The),sp500_2021,listed
DISCA,0001437107,"Warner Bros. Discovery, Inc.",sp500_2021,listed
DISH,0001415404,EchoStar CORP,sp500_2021,listed
DLR,0001297996,Digital Realty,sp500_2021,listed
DLTR,0000935703,Dollar Tree,sp500_2021,listed
DOC,0000765880,Healthpeak Properties,sp500_2021,listed
DOV,0000029905,Dover Corporation,sp500_2021,listed
DOW,0001751788,Dow Inc.,sp500_2021,listed
DPZ,0001286681,Domino's,sp500_2021,listed
DRE,0000783280,DUKE REALTY CORP,sp500_2021,delisted
DRI,0000940944,Darden Restaurants,sp500_2021,listed
DTE,0000936340,DTE Energy,sp500_2021,listed
DVA,0000927066,DaVita,sp500_2021,listed
DVN,0001090012,Devon Energy,sp500_2021,listed
DXCM,0001093557,Dexcom,sp500_2021,listed
EA,0000712515,ELECTRONIC ARTS INC.,sp500_2021,delisted
EBAY,0001065088,eBay Inc.,sp500_2021,listed
ECL,0000031462,Ecolab,sp500_2021,listed
ED,0001047862,Consolidated Edison,sp500_2021,listed
EFX,0000033185,Equifax,sp500_2021,listed
EG,0001095073,Everest Group,sp500_2021,listed
EIX,0000827052,Edison International,sp500_2021,listed
ELV,0001156039,Elevance Health,sp500_2021,listed
EMR,0000032604,Emerson Electric,sp500_2021,listed
ENPH,0001463101,"Enphase Energy, Inc.",sp500_2021,listed
EQIX,0001101239,Equinix,sp500_2021,listed
ES,0000072741,Eversource Energy,sp500_2021,listed
ESS,0000920522,Essex Property Trust,sp500_2021,listed
ETN,0001551182,Eaton Corporation,sp500_2021,listed
ETR,0000065984,Entergy,sp500_2021,listed
ETSY,0001370637,ETSY INC,sp500_2021,listed
EVRG,0001711269,Evergy,sp500_2021,listed
EW,0001099800,Edwards Lifesciences,sp500_2021,listed
EXC,0001109357,Exelon,sp500_2021,listed
EXPD,0000746515,Expeditors International,sp500_2021,listed
EXPE,0001324424,Expedia Group,sp500_2021,listed
EXR,0001289490,Extra Space Storage,sp500_2021,listed
FANG,0001539838,Diamondback Energy,sp500_2021,listed
FAST,0000815556,Fastenal,sp500_2021,listed
FBHS,0001519751,"Fortune Brands Home & Security, Inc.",sp500_2021,listed
FCX,0000831259,Freeport-McMoRan,sp500_2021,listed
FDS,0001013237,FactSet,sp500_2021,listed
FDXF,0002082247,FedEx Freight,sp500_2021,listed
FE,0001031296,FirstEnergy,sp500_2021,listed
FFIV,0001048695,"F5, Inc.",sp500_2021,listed
FIS,0001136893,Fidelity National Information Services,sp500_2021,listed
FISV,0000798354,Fiserv,sp500_2021,listed
FITB,0000035527,Fifth Third Bancorp,sp500_2021,listed
FLT,0001175454,FLEETCOR TECHNOLOGIES INC,sp500_2021,listed
FMC,0000037785,FMC CORP,sp500_2021,listed
FOX,0001754301,Fox Corporation (Class B),sp500_2021,listed
FRC,0001132979,FIRST REPUBLIC BANK,sp500_2021,delisted
FRT,0000034903,Federal Realty Investment Trust,sp500_2021,listed
FTNT,0001262039,Fortinet,sp500_2021,listed
FTV,0001659166,Fortive,sp500_2021,listed
GEHC,0001932393,GE HealthCare,sp500_2021,listed
GEN,0000849399,Gen Digital,sp500_2021,listed
GEV,0001996810,GE Vernova,sp500_2021,listed
GIS,0000040704,General Mills,sp500_2021,listed
GL,0000320335,Globe Life,sp500_2021,listed
GLW,0000024741,Corning Inc.,sp500_2021,listed
GNRC,0001474735,Generac,sp500_2021,listed
GPC,0000040987,Genuine Parts Company,sp500_2021,listed
GPN,0001123360,Global Payments,sp500_2021,listed
GRMN,0001121788,Garmin,sp500_2021,listed
GWW,0000277135,W. W. Grainger,sp500_2021,listed
HAL,0000045012,Halliburton,sp500_2021,listed
HAS,0000046080,Hasbro,sp500_2021,listed
HBAN,0000049196,Huntington Bancshares,sp500_2021,listed
HCA,0000860730,HCA Healthcare,sp500_2021,listed
HES,0000004447,HESS CORP,sp500_2021,delisted
HIG,0000874766,Hartford (The),sp500_2021,listed
HII,0001501585,Huntington Ingalls Industries,sp500_2021,listed
HLT,0001585689,Hilton Worldwide,sp500_2021,listed
HOLX,0000859737,HOLOGIC INC,sp500_2021,delisted
HONA,0002089271,Honeywell Aerospace,sp500_2021,listed
HPE,0001645590,Hewlett Packard Enterprise,sp500_2021,listed
HPQ,0000047217,HP Inc.,sp500_2021,listed
HRL,0000048465,Hormel Foods,sp500_2021,listed
HSIC,0001000228,Henry Schein,sp500_2021,listed
HST,0001070750,Host Hotels & Resorts,sp500_2021,listed
HSY,0000047111,Hershey Company (The),sp500_2021,listed
HUM,0000049071,Humana,sp500_2021,listed
ICE,0001571949,Intercontinental Exchange,sp500_2021,listed
IDXX,0000874716,Idexx Laboratories,sp500_2021,listed
IEX,0000832101,IDEX Corporation,sp500_2021,listed
IFF,0000051253,International Flavors & Fragrances,sp500_2021,listed
ILMN,0001110803,"ILLUMINA, INC.",sp500_2021,listed
INCY,0000879169,Incyte,sp500_2021,listed
INFO,0001598014,IHS Markit Ltd.,sp500_2021,delisted
IP,0000051434,International Paper,sp500_2021,listed
IPG,0000051644,"INTERPUBLIC GROUP OF COMPANIES, INC.",sp500_2021,delisted
IPGP,0001111928,IPG PHOTONICS CORP,sp500_2021,listed
IQV,0001478242,IQVIA,sp500_2021,listed
IR,0001699150,Ingersoll Rand,sp500_2021,listed
IRM,0001020569,Iron Mountain,sp500_2021,listed
IT,0000749251,Gartner,sp500_2021,listed
IVZ,0000914208,Invesco,sp500_2021,listed
J,0000052988,Jacobs Solutions,sp500_2021,listed
JBHT,0000728535,J.B. Hunt,sp500_2021,listed
JCI,0000833444,Johnson Controls,sp500_2021,listed
JKHY,0000779152,Jack Henry & Associates,sp500_2021,listed
JNPR,0001043604,JUNIPER NETWORKS INC,sp500_2021,delisted
K,0000055067,KELLANOVA,sp500_2021,delisted
KEY,0000091576,KeyCorp,sp500_2021,listed
KEYS,0001601046,Keysight Technologies,sp500_2021,listed
KHC,0001637459,Kraft Heinz,sp500_2021,listed
KIM,0000879101,Kimco Realty,sp500_2021,listed
KMB,0000055785,Kimberly-Clark,sp500_2021,listed
KMI,0001506307,Kinder Morgan,sp500_2021,listed
KR,0000056873,Kroger,sp500_2021,listed
L,0000060086,Loews Corporation,sp500_2021,listed
LDOS,0001336920,Leidos,sp500_2021,listed
LEN,0000920760,Lennar,sp500_2021,listed
LH,0000920148,Labcorp,sp500_2021,listed
LIN,0001707925,Linde plc,sp500_2021,listed
LKQ,0001065696,LKQ CORP,sp500_2021,listed
LNC,0000059558,LINCOLN NATIONAL CORP,sp500_2021,listed
LNT,0000352541,Alliant Energy,sp500_2021,listed
LUMN,0000018926,"Lumen Technologies, Inc.",sp500_2021,listed
LUV,0000092380,Southwest Airlines,sp500_2021,listed
LVS,0001300514,Las Vegas Sands,sp500_2021,listed
LW,0001679273,"Lamb Weston Holdings, Inc.",sp500_2021,listed
LYB,0001489393,LyondellBasell,sp500_2021,listed
LYV,0001335258,Live Nation Entertainment,sp500_2021,listed
MAA,0000912595,Mid-America Apartment Communities,sp500_2021,listed
MAR,0001048286,Marriott International,sp500_2021,listed
MAS,0000062996,Masco,sp500_2021,listed
MCHP,0000827054,Microchip Technology,sp500_2021,listed
MCK,0000927653,McKesson Corporation,sp500_2021,listed
MCO,0001059556,Moody's Corporation,sp500_2021,listed
MDLZ,0001103982,Mondelez International,sp500_2021,listed
MDT,0001613103,Medtronic,sp500_2021,listed
MET,0001099219,MetLife,sp500_2021,listed
MGM,0000789570,MGM Resorts,sp500_2021,listed
MHK,0000851968,MOHAWK INDUSTRIES INC,sp500_2021,listed
MKC,0000063754,McCormick & Company,sp500_2021,listed
MKTX,0001278021,MARKETAXESS HOLDINGS INC,sp500_2021,listed
MLM,0000916076,Martin Marietta Materials,sp500_2021,listed
MNST,0000865752,Monster Beverage,sp500_2021,listed
MO,0000764180,Altria,sp500_2021,listed
MOS,0001285785,Mosaic Company (The),sp500_2021,listed
MPWR,0001280452,Monolithic Power Systems,sp500_2021,listed
MRO,0000101778,MARATHON OIL CORP,sp500_2021,delisted
MRSH,0000062709,Marsh McLennan,sp500_2021,listed
MSI,0000068505,Motorola Solutions,sp500_2021,listed
MTB,0000036270,M&T Bank,sp500_2021,listed
MTCH,0000891103,"Match Group, Inc.",sp500_2021,listed
MTD,0001037646,Mettler Toledo,sp500_2021,listed
NCLH,0001513761,Norwegian Cruise Line Holdings,sp500_2021,listed
NDAQ,0001120193,"Nasdaq, Inc.",sp500_2021,listed
NEM,0001164727,Newmont,sp500_2021,listed
NI,0001111711,NiSource,sp500_2021,listed
NLSN,0001492633,Nielsen Holdings N.V.,sp500_2021,delisted
NRG,0001013871,NRG Energy,sp500_2021,listed
NSC,0000702165,Norfolk Southern,sp500_2021,listed
NTAP,0001002047,NetApp,sp500_2021,listed
NTRS,0000073124,Northern Trust,sp500_2021,listed
NUE,0000073309,Nucor,sp500_2021,listed
NVR,0000906163,"NVR, Inc.",sp500_2021,listed
NWL,0000814453,NEWELL BRANDS INC.,sp500_2021,listed
NWS,0001564708,News Corp (Class B),sp500_2021,listed
NXPI,0001413447,NXP Semiconductors,sp500_2021,listed
O,0000726728,Realty Income,sp500_2021,listed
ODFL,0000878927,Old Dominion,sp500_2021,listed
OGN,0001821825,Organon & Co.,sp500_2021,listed
OKE,0001039684,Oneok,sp500_2021,listed
OMC,0000029989,Omnicom Group,sp500_2021,listed
ORLY,0000898173,O'Reilly Automotive,sp500_2021,listed
OTIS,0001781335,Otis Worldwide,sp500_2021,listed
OXY,0000797468,Occidental Petroleum,sp500_2021,listed
PAYC,0001590955,"Paycom Software, Inc.",sp500_2021,listed
PAYX,0000723531,Paychex,sp500_2021,listed
PBCT,0001378946,"People's United Financial, Inc.",sp500_2021,delisted
PCAR,0000075362,Paccar,sp500_2021,listed
PEG,0000788784,Public Service Enterprise Group,sp500_2021,listed
PENN,0000921738,"PENN Entertainment, Inc.",sp500_2021,listed
PFG,0001126328,Principal Financial Group,sp500_2021,listed
PGR,0000080661,Progressive Corporation,sp500_2021,listed
PH,0000076334,Parker Hannifin,sp500_2021,listed
PHM,0000822416,PulteGroup,sp500_2021,listed
PKG,0000075677,Packaging Corporation of America,sp500_2021,listed
PLD,0001045609,Prologis,sp500_2021,listed
PM,0001413329,Philip Morris International,sp500_2021,listed
PNC,0000713676,PNC Financial Services,sp500_2021,listed
PNR,0000077360,Pentair,sp500_2021,listed
PNW,0000764622,Pinnacle West Capital,sp500_2021,listed
POOL,0000945841,POOL CORP,sp500_2021,listed
PPG,0000079879,PPG Industries,sp500_2021,listed
PPL,0000922224,PPL Corporation,sp500_2021,listed
PRU,0001137774,Prudential Financial,sp500_2021,listed
PSA,0001393311,Public Storage,sp500_2021,listed
PSKY,0002041610,Paramount Skydance Corporation,sp500_2021,listed
PTC,0000857005,PTC Inc.,sp500_2021,listed
PVH,0000078239,PVH CORP. /DE/,sp500_2021,listed
PWR,0001050915,Quanta Services,sp500_2021,listed
PXD,0001038357,PIONEER NATURAL RESOURCES CO,sp500_2021,delisted
Q,0002058873,Qnity Electronics,sp500_2021,listed
QRVO,0001604778,"Qorvo, Inc.",sp500_2021,listed
RCL,0000884887,Royal Caribbean Group,sp500_2021,listed
REG,0000910606,Regency Centers,sp500_2021,listed
RF,0001281761,Regions Financial Corporation,sp500_2021,listed
RHI,0000315213,ROBERT HALF INC.,sp500_2021,listed
RJF,0000720005,Raymond James Financial,sp500_2021,listed
RL,0001037038,Ralph Lauren Corporation,sp500_2021,listed
RMD,0000943819,ResMed|,sp500_2021,listed
ROK,0001024478,Rockwell Automation,sp500_2021,listed
ROL,0000084839,"Rollins, Inc.",sp500_2021,listed
ROP,0000882835,Roper Technologies,sp500_2021,listed
ROST,0000745732,Ross Stores,sp500_2021,listed
RSG,0001060391,Republic Services,sp500_2021,listed
RVTY,0000031791,Revvity,sp500_2021,listed
SBAC,0001034054,SBA Communications,sp500_2021,listed
SBNY,0001288784,Signature Bank Corp,sp500_2021,delisted
SCHW,0000316709,Charles Schwab Corporation,sp500_2021,listed
SEDG,0001419612,"SOLAREDGE TECHNOLOGIES, INC.",sp500_2021,listed
SEE,0001012100,SEALED AIR CORP/DE,sp500_2021,delisted
SHW,0000089800,Sherwin-Williams,sp500_2021,listed
SIVB,0000719739,SVB FINANCIAL GROUP,sp500_2021,delisted
SJM,0000091419,J.M. Smucker Company (The),sp500_2021,listed
SNA,0000091440,Snap-on,sp500_2021,listed
SNPS,0000883241,Synopsys,sp500_2021,listed
SOLS,0002064953,Solstice Advanced Materials Inc.,sp500_2021,listed
SOLV,0001964738,Solventum,sp500_2021,listed
SPG,0001063761,Simon Property Group,sp500_2021,listed
SPGI,0000064040,S&P Global,sp500_2021,listed
STE,0001757898,Steris,sp500_2021,listed
STT,0000093751,State Street Corporation,sp500_2021,listed
STX,0001137789,Seagate Technology,sp500_2021,listed
STZ,0000016918,Constellation Brands,sp500_2021,listed
SW,0002005951,Smurfit Westrock,sp500_2021,listed
SWK,0000093556,Stanley Black & Decker,sp500_2021,listed
SWKS,0000004127,Skyworks Solutions,sp500_2021,listed
SYF,0001601712,Synchrony Financial,sp500_2021,listed
SYK,0000310764,Stryker Corporation,sp500_2021,listed
SYY,0000096021,Sysco,sp500_2021,listed
TAP,0000024545,Molson Coors Beverage Company,sp500_2021,listed
TDY,0001094285,Teledyne Technologies,sp500_2021,listed
TECH,0000842023,Bio-Techne,sp500_2021,listed
TEL,0001385157,TE Connectivity,sp500_2021,listed
TER,0000097210,Teradyne,sp500_2021,listed
TFC,0000092230,Truist Financial,sp500_2021,listed
TFX,0000096943,TELEFLEX INC,sp500_2021,listed
TJX,0000109198,TJX Companies,sp500_2021,listed
TPR,0001116132,"Tapestry, Inc.",sp500_2021,listed
TRMB,0000864749,Trimble Inc.,sp500_2021,listed
TROW,0001113169,T. Rowe Price,sp500_2021,listed
TRV,0000086312,Travelers Companies (The),sp500_2021,listed
TSCO,0000916365,Tractor Supply,sp500_2021,listed
TSN,0000100493,Tyson Foods,sp500_2021,listed
TT,0001466258,Trane Technologies,sp500_2021,listed
TTWO,0000946581,Take-Two Interactive,sp500_2021,listed
TWTR,0001418091,"TWITTER, INC.",sp500_2021,delisted
TXT,0000217346,Textron,sp500_2021,listed
TYL,0000860731,Tyler Technologies,sp500_2021,listed
UAA,0001336917,"Under Armour, Inc.",sp500_2021,listed
UAL,0000100517,United Airlines Holdings,sp500_2021,listed
UDR,0000074208,"UDR, Inc.",sp500_2021,listed
UHS,0000352915,Universal Health Services,sp500_2021,listed
ULTA,0001403568,Ulta Beauty,sp500_2021,listed
UNH,0000731766,UnitedHealth Group,sp500_2021,listed
URI,0001067701,United Rentals,sp500_2021,listed
USB,0000036104,U.S. Bancorp,sp500_2021,listed
